Date,UK,England and Wales,England,Scotland,Wales,Northern Ireland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West
30/01/2020,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,
02/02/2020,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,
22/02/2020,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,
02/03/2020,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2020,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
05/03/2020,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0
06/03/2020,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0
07/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2020,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0
09/03/2020,5,5,5,0,0,0,0,0,0,0,1,1,2,1,0
10/03/2020,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0
11/03/2020,7,7,7,0,0,0,0,1,0,1,1,1,2,0,1
12/03/2020,13,11,11,2,0,0,0,0,0,1,4,0,6,0,0
13/03/2020,16,16,16,0,0,0,0,3,0,1,2,2,6,2,0
14/03/2020,21,19,19,2,0,0,0,3,0,0,2,0,10,3,1
15/03/2020,31,30,28,1,1,0,1,4,2,0,4,1,8,7,1
16/03/2020,51,48,44,3,3,0,0,2,2,4,8,2,15,9,2
17/03/2020,58,55,54,3,1,0,0,6,2,1,8,2,26,7,2
18/03/2020,73,68,66,4,2,1,0,6,2,4,9,1,28,13,3
19/03/2020,79,75,71,4,4,0,0,9,1,3,8,6,31,9,4
20/03/2020,118,113,109,5,4,0,3,8,2,6,19,2,50,16,3
21/03/2020,144,136,126,7,9,1,3,13,2,4,17,8,56,15,8
22/03/2020,183,176,172,6,4,1,6,17,2,12,23,12,63,31,6
23/03/2020,208,197,188,7,7,4,4,20,6,10,29,12,69,27,11
24/03/2020,263,248,237,12,11,3,2,22,7,17,30,23,98,31,7
25/03/2020,337,311,299,22,12,4,6,22,8,12,45,22,135,39,10
26/03/2020,413,385,370,24,12,4,8,34,16,18,55,36,146,48,9
27/03/2020,463,434,416,23,18,6,13,43,20,24,59,37,155,53,12
28/03/2020,516,470,449,37,21,9,11,43,25,29,76,41,148,47,29
29/03/2020,586,555,531,27,23,4,9,62,32,27,77,56,175,65,28
30/03/2020,711,653,631,51,21,7,36,80,32,27,87,56,196,85,32
31/03/2020,831,766,741,57,21,8,30,81,42,44,115,79,239,86,25
01/04/2020,923,851,825,65,24,7,36,117,42,50,131,84,237,96,32
02/04/2020,1007,932,892,61,39,14,41,134,55,56,137,77,255,103,34
03/04/2020,1061,973,927,75,41,13,56,132,65,62,102,91,267,106,46
04/04/2020,1147,1077,1023,56,53,14,47,124,76,74,127,83,287,145,60
05/04/2020,1220,1118,1063,86,54,16,51,156,68,81,136,106,273,136,56
06/04/2020,1170,1072,1025,91,45,7,58,141,72,82,115,87,273,140,57
07/04/2020,1292,1198,1144,85,53,9,55,191,83,62,112,129,295,154,63
08/04/2020,1461,1360,1286,92,72,9,59,177,102,81,162,136,327,162,80
09/04/2020,1375,1242,1177,108,61,25,63,166,100,89,129,115,275,194,46
10/04/2020,1319,1212,1163,98,49,9,79,167,103,78,133,97,241,174,91
11/04/2020,1364,1255,1202,94,50,15,73,199,77,86,146,126,249,171,75
12/04/2020,1378,1283,1208,75,73,20,63,206,92,92,138,144,237,165,71
13/04/2020,1232,1135,1076,81,57,16,51,188,87,74,119,109,228,159,61
14/04/2020,1254,1138,1080,100,56,16,67,195,93,88,117,97,212,150,61
15/04/2020,1276,1161,1100,94,60,21,46,190,109,81,133,114,203,158,66
16/04/2020,1322,1205,1147,101,56,16,47,214,121,64,131,118,202,177,73
17/04/2020,1271,1173,1107,84,61,14,59,161,116,87,141,133,170,158,82
18/04/2020,1189,1084,1030,95,53,10,69,200,95,73,123,102,167,138,63
19/04/2020,1122,1016,967,90,49,16,58,130,101,80,107,96,156,165,74
20/04/2020,1160,1040,992,105,47,15,52,158,101,81,106,102,145,182,65
21/04/2020,1085,973,916,96,54,16,49,139,98,59,112,95,142,148,74
