Date,UK,England and Wales,England,Scotland,Wales,Northern Ireland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West
03/03/2021,213,195,184,14,11,4,13,25,23,27,27,19,15,25,10
04/03/2021,230,211,200,16,11,3,8,29,18,20,28,26,20,44,7
05/03/2021,218,205,199,12,6,1,13,35,19,20,25,19,27,37,4
06/03/2021,206,188,174,12,13,6,5,29,24,18,14,26,24,22,12
07/03/2021,194,180,172,11,8,3,5,27,14,20,20,29,22,27,8
08/03/2021,193,170,162,21,8,2,10,19,17,19,26,23,15,20,13
09/03/2021,185,165,160,14,4,6,8,20,20,22,15,18,16,29,12
10/03/2021,157,146,131,5,13,6,7,19,16,17,21,15,14,17,5
11/03/2021,168,151,147,11,4,6,4,19,19,19,16,18,20,26,6
12/03/2021,134,123,116,9,7,2,10,15,13,18,22,10,5,18,5
13/03/2021,134,128,122,6,6,0,8,13,9,21,12,16,16,19,8
14/03/2021,132,116,109,15,7,1,3,29,14,13,11,8,8,19,4
15/03/2021,134,125,118,7,7,2,2,19,18,11,14,12,14,22,6
16/03/2021,112,96,92,13,4,3,2,16,9,8,13,9,9,20,6
17/03/2021,124,110,101,12,9,2,6,13,9,11,20,12,13,13,4
18/03/2021,98,88,84,6,4,4,4,13,9,15,10,10,9,12,2
19/03/2021,101,87,79,11,8,3,5,15,10,9,7,6,6,17,4
20/03/2021,99,89,87,8,2,2,6,19,4,13,17,6,7,12,3
21/03/2021,123,110,105,10,5,3,1,13,17,15,11,16,14,10,8
22/03/2021,102,89,84,9,5,4,3,13,6,13,12,11,9,13,4
23/03/2021,92,82,80,9,2,1,8,12,9,10,14,9,5,9,4
24/03/2021,69,63,57,6,6,0,2,10,9,5,4,6,10,8,3
25/03/2021,75,66,64,9,2,0,2,13,7,9,7,7,6,8,5
26/03/2021,72,60,58,8,2,4,3,9,12,8,5,6,2,10,3
27/03/2021,62,55,53,5,2,2,4,5,4,7,6,7,11,7,2
28/03/2021,47,40,40,6,0,1,1,10,3,4,2,3,9,4,4
29/03/2021,67,56,54,7,2,4,3,8,6,11,7,5,2,9,3
30/03/2021,54,48,48,5,0,1,3,6,7,5,5,8,5,8,1
31/03/2021,74,68,64,6,3,0,6,8,9,3,11,3,8,11,5
01/04/2021,61,53,52,6,1,2,1,11,5,3,12,4,6,8,2
02/04/2021,50,43,38,5,5,2,1,7,3,7,7,1,3,8,1
03/04/2021,40,34,32,4,2,2,3,2,2,3,5,3,8,4,2
04/04/2021,50,49,48,0,1,1,3,10,8,6,4,6,3,6,2
05/04/2021,42,34,32,5,2,3,1,4,4,1,6,3,6,4,3
06/04/2021,45,40,37,3,3,2,2,4,4,6,7,4,1,7,2
07/04/2021,44,37,36,5,1,2,1,5,5,9,1,3,2,5,5
08/04/2021,60,53,50,4,2,3,2,4,8,3,7,6,8,8,4
09/04/2021,38,34,32,2,2,2,0,7,3,3,7,4,5,0,3
10/04/2021,43,37,36,5,1,1,1,4,4,4,3,9,8,2,1
11/04/2021,39,33,32,4,1,2,0,5,6,3,6,1,4,3,4
12/04/2021,36,36,34,0,2,0,0,7,6,4,5,2,3,5,2
13/04/2021,46,37,36,6,1,3,2,6,9,1,2,6,4,6,0
14/04/2021,33,28,24,2,4,3,2,8,0,1,5,2,2,4,0
15/04/2021,41,37,35,4,2,0,1,5,7,4,2,3,8,3,2
16/04/2021,30,28,27,1,1,1,2,2,5,2,2,8,3,2,1
17/04/2021,40,35,33,4,1,1,1,3,12,1,8,3,2,2,1
18/04/2021,29,28,25,1,3,0,0,2,3,6,3,3,3,4,1
19/04/2021,23,19,17,3,1,1,0,1,2,0,4,2,4,4,0
20/04/2021,33,30,28,3,2,0,0,5,8,1,3,2,1,6,2
21/04/2021,35,25,25,7,0,3,1,4,7,0,3,4,1,4,1
22/04/2021,32,27,27,2,0,3,1,5,5,2,3,2,2,3,4
23/04/2021,29,26,23,3,3,0,1,1,1,6,7,4,1,1,1
24/04/2021,24,21,19,2,2,1,2,5,2,2,1,0,1,6,0
25/04/2021,25,21,20,3,1,1,1,1,2,2,5,3,3,3,0
26/04/2021,19,17,17,2,0,0,1,3,3,1,5,1,0,1,2
27/04/2021,25,23,23,1,0,1,2,5,2,1,1,6,2,2,2
28/04/2021,21,19,19,2,0,0,0,2,2,2,2,2,6,1,2
29/04/2021,17,15,15,2,0,0,0,4,3,0,1,0,1,3,3
30/04/2021,16,16,16,0,0,0,0,0,2,1,1,2,3,4,3
01/05/2021,15,13,13,1,0,1,0,1,3,1,1,1,3,1,2
02/05/2021,18,16,15,2,1,0,0,2,3,1,0,1,2,2,4
03/05/2021,16,16,16,0,0,0,1,2,1,4,2,0,2,2,2
04/05/2021,15,14,14,1,0,0,1,1,2,0,1,3,1,3,2
05/05/2021,21,20,19,1,1,0,0,4,5,1,1,1,5,1,1
06/05/2021,17,15,14,1,1,1,0,2,1,0,1,6,1,2,1
07/05/2021,17,17,15,0,2,0,1,2,4,1,1,1,2,2,1
08/05/2021,20,19,17,0,2,1,0,0,6,0,3,3,1,3,1
09/05/2021,10,10,10,0,0,0,0,2,3,0,1,1,1,1,1
10/05/2021,8,7,7,1,0,0,0,1,0,0,1,2,3,0,0
11/05/2021,19,17,17,0,0,2,0,4,1,2,4,2,0,4,0
12/05/2021,15,13,13,2,0,0,4,1,4,0,1,0,1,1,1
13/05/2021,14,10,9,2,1,2,0,2,0,1,4,1,1,0,0
14/05/2021,14,11,9,2,2,1,0,0,1,0,2,0,1,5,0
15/05/2021,14,14,12,0,2,0,1,2,2,1,3,0,1,1,1
16/05/2021,13,10,9,1,1,2,0,0,2,1,0,3,2,1,0
17/05/2021,12,10,10,2,0,0,0,1,2,2,1,2,0,2,0
18/05/2021,9,8,7,0,1,1,1,0,0,2,0,2,0,1,1
19/05/2021,4,4,3,0,1,0,0,0,1,0,0,0,0,1,1
20/05/2021,6,5,5,1,0,0,0,1,0,0,0,0,3,1,0
21/05/2021,15,14,13,0,1,1,0,4,0,1,2,2,2,1,1
22/05/2021,4,3,3,1,0,0,0,0,0,1,0,1,1,0,0
23/05/2021,15,13,13,1,0,1,0,5,1,1,1,0,3,2,0
24/05/2021,16,14,13,1,1,1,0,2,3,0,2,1,3,2,0
25/05/2021,9,7,7,2,0,0,0,1,1,0,2,1,0,2,0
26/05/2021,14,13,12,1,1,0,0,2,3,0,2,1,4,0,0
27/05/2021,8,8,8,0,0,0,0,2,0,1,2,0,2,1,0
28/05/2021,13,11,11,1,0,1,0,4,1,1,1,0,1,3,0
29/05/2021,12,9,9,3,0,0,0,4,0,1,0,0,3,1,0
30/05/2021,8,7,7,1,0,0,0,1,2,1,0,1,1,0,1
31/05/2021,11,10,10,0,0,1,1,2,0,1,2,3,1,0,0
01/06/2021,10,9,9,1,0,0,1,4,0,1,2,0,0,1,0
02/06/2021,11,9,9,1,0,1,0,2,3,1,2,0,1,0,0
03/06/2021,15,13,13,2,0,0,0,5,2,2,1,1,1,1,0
04/06/2021,11,10,10,1,0,0,0,1,1,3,1,0,2,2,0
05/06/2021,5,4,3,1,1,0,1,1,0,0,0,0,1,0,0
06/06/2021,13,12,12,1,0,0,0,1,2,0,2,1,4,1,1
07/06/2021,6,5,5,1,0,0,0,2,0,0,0,1,1,1,0
08/06/2021,14,13,13,1,0,0,0,2,3,2,1,1,2,2,0
09/06/2021,12,11,11,1,0,0,0,1,0,1,2,0,4,3,0
10/06/2021,12,12,12,0,0,0,1,2,1,0,2,2,1,3,0
11/06/2021,10,8,8,1,0,1,0,2,3,0,0,1,0,1,1
